idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/(home)/page.tsx,Y,/,R1,visitor,matrix:96-20:auto:home; GET /health; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:home; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
2,frontend/app/discover/page.tsx,Y,/discover,R1,visitor,matrix:96-20:auto:discover; GET /api/v1/discover/orders; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:discover; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/discover; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
3,frontend/app/guides/[id]/page.tsx,Y,/guides/:id,R1,visitor,matrix:96-20:auto:guides-id; GET /api/v1/guides; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:guides-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/guides/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
4,frontend/app/guides/page.tsx,Y,/guides,R1,visitor,matrix:96-20:auto:guides; GET /api/v1/guides; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:guides; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/guides; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
5,frontend/app/help/page.tsx,Y,/help,R1,visitor,matrix:96-20:auto:help; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:help; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/help; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
6,frontend/app/market/acquisition/[id]/page.tsx,Y,/market/acquisition/:id,R1,visitor,matrix:96-20:auto:market-acquisition-id; GET /api/v1/discover/orders; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:market-acquisition-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/market/acquisition/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
7,frontend/app/market/acquisition/page.tsx,Y,/market/acquisition,R1,visitor,matrix:96-20:auto:market-acquisition; GET /api/v1/discover/orders; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:market-acquisition; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/market/acquisition; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
8,frontend/app/market/page.tsx,Y,/market,R1,visitor,matrix:96-20:auto:market; GET /api/v1/discover/orders; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:market; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/market; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
9,frontend/app/market/provider/page.tsx,Y,/market/provider,R1,visitor,matrix:96-20:auto:market-provider; GET /api/v1/discover/orders; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:market-provider; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/market/provider; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
10,frontend/app/market/provider/showcase/[id]/page.tsx,Y,/market/provider/showcase/:id,R1,visitor,matrix:96-20:auto:market-provider-showcase-id; GET /api/v1/discover/orders; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:market-provider-showcase-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/market/provider/showcase/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
11,frontend/app/network/page.tsx,Y,/network,R1,visitor,matrix:96-20:auto:network; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:network; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/network; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
12,frontend/app/traveltrust/page.tsx,Y,/traveltrust,R1,visitor,matrix:96-20:auto:traveltrust; align:n/a-api,nav;cta;browse,e2e/smoke.spec.ts; e2e/p0-spine-real-api.spec.ts; npm run e2e:full-chromium,,PENDING,NOT_RUN,matrix:96-20:auto:traveltrust; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R1 user_path=/traveltrust; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
