idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/disputes/[id]/page.tsx,Y,/disputes/:id,R3,visitor,matrix:96-20:auto:disputes-id; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:disputes-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/disputes/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
2,frontend/app/disputes/page.tsx,Y,/disputes,R3,visitor,matrix:96-20:auto:disputes; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:disputes; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/disputes; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
3,frontend/app/escrow/[id]/page.tsx,Y,/escrow/:id,R3,visitor,matrix:96-20:auto:escrow-id; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:escrow-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/escrow/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
4,frontend/app/escrow/[id]/rate/page.tsx,Y,/escrow/:id/rate,R3,visitor,matrix:96-20:auto:escrow-id-rate; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:escrow-id-rate; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/escrow/:id/rate; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
5,frontend/app/guide/page.tsx,Y,/guide,R3,guide,matrix:96-20:auto:guide; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:guide; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/guide; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
6,frontend/app/guide/register/page.tsx,Y,/guide/register,R3,guide,matrix:96-20:auto:guide-register; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:guide-register; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/guide/register; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
7,frontend/app/itinerary/new/page.tsx,Y,/itinerary/new,R3,visitor,matrix:96-20:auto:itinerary-new; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:itinerary-new; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/itinerary/new; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
8,frontend/app/orders/[id]/page.tsx,Y,/orders/:id,R3,visitor,matrix:96-20:auto:orders-id; GET /api/v1/orders; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:orders-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/orders/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
9,frontend/app/orders/new/page.tsx,Y,/orders/new,R3,visitor,matrix:96-20:auto:orders-new; GET /api/v1/orders; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:orders-new; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/orders/new; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
10,frontend/app/orders/page.tsx,Y,/orders,R3,visitor,matrix:96-20:auto:orders; GET /api/v1/orders; align:n/a-api,nav;cta;browse,e2e/p0-spine-real-api.spec.ts; e2e/b467-full-ui-order-journey.spec.ts; npm run e2e:trust-gate,,PENDING,NOT_RUN,matrix:96-20:auto:orders; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R3 user_path=/orders; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
