idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/admin/alerts/incidents/page.tsx,Y,/admin/alerts/incidents,R7,admin,matrix:96-20:auto:admin-alerts-incidents; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-alerts-incidents; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/alerts/incidents; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
2,frontend/app/admin/api-versions/page.tsx,Y,/admin/api-versions,R7,admin,matrix:96-20:auto:admin-api-versions; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-api-versions; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/api-versions; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
3,frontend/app/admin/approvals/page.tsx,Y,/admin/approvals,R7,admin,matrix:96-20:auto:admin-approvals; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-approvals; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/approvals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
4,frontend/app/admin/audit/operations/page.tsx,Y,/admin/audit/operations,R7,admin,matrix:96-20:auto:admin-audit-operations; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-audit-operations; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/audit/operations; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
5,frontend/app/admin/audit/page.tsx,Y,/admin/audit,R7,admin,matrix:96-20:auto:admin-audit; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-audit; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/audit; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
6,frontend/app/admin/compliance/requests/page.tsx,Y,/admin/compliance/requests,R7,admin,matrix:96-20:auto:admin-compliance-requests; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-compliance-requests; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/compliance/requests; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
7,frontend/app/admin/config/page.tsx,Y,/admin/config,R7,admin,matrix:96-20:auto:admin-config; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-config; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/config; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
8,frontend/app/admin/config/releases/page.tsx,Y,/admin/config/releases,R7,admin,matrix:96-20:auto:admin-config-releases; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-config-releases; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/config/releases; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
9,frontend/app/admin/cross-check/page.tsx,Y,/admin/cross-check,R7,admin,matrix:96-20:auto:admin-cross-check; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-cross-check; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/cross-check; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
10,frontend/app/admin/disputes/page.tsx,Y,/admin/disputes,R7,admin,matrix:96-20:auto:admin-disputes; align:n/a-api,nav;cta;browse,e2e/smoke-admin.spec.ts; e2e/93-matrix-admin-deep-batch.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:admin-disputes; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R7 user_path=/admin/disputes; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
